Barcode,SubSection,Artical,Size,Qty,MRP
2304DR5118,T-SHIRT,HT728,L,1,3299
2304DR3479,T-SHIRT,HT720,M,1,3299
2304DR3528,T-SHIRT,HT720,XL,1,3299
2305DR2134,T-SHIRT,HT758,M,1,3299
2305DR2199,T-SHIRT,HT758,XL,1,3299
2304DR3526,T-SHIRT,HT720,L,1,3299
2304DR7236,T-SHIRT Round,HT738,XXL,1,2899
2305DR2163,T-SHIRT,HT758,L,1,3299
2403DR1418,T-SHIRT,HT774,XL,1,2999
2305DR1303,T-SHIRT Round,HT749,XXL,1,2899
2305DR1240,T-SHIRT Round,HT749,L,1,2899
2305DR1227,T-SHIRT Round,HT749,M,1,2899
2304DR3792,T-SHIRT,HT722,XXL,1,3299
2302DR325,T-SHIRT,HT604,XL,1,2499
2302DR316,T-SHIRT,HT604,L,1,2499
2302DR296,T-SHIRT,HT604,M,1,2499
2207DR6549,T-SHIRT,HT634,XXL,1,2499
2207DR6495,T-SHIRT,HT634,XL,1,2499
2211DR1012,T-SHIRT,HT634,M,1,2499
2402DR195,T-SHIRT,HT764,S,1,2499
2403DR522,T-SHIRT,HT771,XL,1,2999
2403DR466,T-SHIRT,HT771,M,1,2999
2403DR547,T-SHIRT,HT771,XXL,1,2999
2403DR544,T-SHIRT,HT771,XXL,1,2999
2304DR4119,T-SHIRT,HT726,M,1,3299
2305DR2166,T-SHIRT,HT758,L,1,3299
2304DR4168,T-SHIRT,HT726,XL,1,3299
2304DR4125,T-SHIRT,HT726,M,1,3299
2402DR269,T-SHIRT,HT765,S,1,2499
2304DR4147,T-SHIRT,HT726,L,1,3299
2304DR4158,T-SHIRT,HT726,XL,1,3299
2305DR2180,T-SHIRT,HT758,XL,1,3299
2402DR317,T-SHIRT,HT765,L,1,2499
2403DR625,T-SHIRT,HT772,XL,1,2999
2403DR640,T-SHIRT,HT772,XXL,1,2999
2403DR1291,T-SHIRT,HT774,M,1,2999
2403DR1309,T-SHIRT,HT774,L,1,2999
2303DR2219,T-SHIRT,HT611,L,1,2499
2304DR1964,T-SHIRT,HT698,L,1,3299
2304DR637,T-SHIRT,HT693,M,1,3299
2304DR5492,T-SHIRT,HT731,XXL,1,3299
2304DR5709,T-SHIRT,HT734,M,1,3299
2304DR7294,T-SHIRT Round,HT739,L,1,2899
2304DR7307,T-SHIRT Round,HT739,XL,1,2899
2304DR7496,T-SHIRT Round,HT741,L,1,2899
2304DR7013,T-SHIRT Round,HT736,M,1,2899
2304DR7488,T-SHIRT Round,HT741,M,1,2899
2303DR703,T-SHIRT,HT616,L,1,2499
2303DR766,T-SHIRT,HT616,XL,1,2499
2303DR741,T-SHIRT,HT616,XL,1,2499
2303DR727,T-SHIRT,HT616,L,1,2499
2308DR4452,T-SHIRT,HT761,L,1,3299
2308DR4393,T-SHIRT,HT761,M,1,3299
2308DR4363,T-SHIRT,HT760,XXL,1,3299
2308DR4348,T-SHIRT,HT760,XL,1,3299
2308DR4210,T-SHIRT,HT760,M,1,3299
2302DR244,T-SHIRT,HT603,L,1,2499
2302DR228,T-SHIRT,HT603,M,1,2499
2308DR4638,T-SHIRT,HT759,L,1,3299
2308DR4619,T-SHIRT,HT759,M,1,3299
2304DR3692,T-SHIRT,HT722,M,1,3299
2308DR6072,T-SHIRT,HT762,L,1,3299
2208DR8354,NITTING,AT228,XXL,1,4499
2208DR8335,NITTING,AT228,XL,1,4499
2209DR7857,NITTING,AT244,L,1,4499
2209DR7858,NITTING,AT244,XL,1,4499
2209DR7843,NITTING,AT244,M,1,4499
2208DR7684,NITTING,AT216,M,1,4499
2208DR7716,NITTING,AT216,XL,1,4499
2208DR7323,NITTING,AT209,XXL,1,4499
