Barcode,SubSection,Artical,Size,Qty,MRP
8905464805951,Undergarment,I641 Trunk,M,10,369
8905464805944,Undergarment,I641 Trunk,L,10,369
8905464805975,Undergarment,I641 Trunk,XL,10,369
8905706813928,Undergarment,ET005 ML,M,10,439
8905706813911,Undergarment,ET005 ML,L,10,439
8905464809713,Undergarment,I667 Trunk,M,10,296
8905464809706,Undergarment,I667 Trunk,L,10,296
8905464809737,Undergarment,I667 Trunk,XL,10,296
8905707298267,Undergarment,AT002 Short  Print,M,5,699
8905707298250,Undergarment,AT002 Short  Print,L,5,699
8905707298335,Undergarment,AT002 Short  Print,XL,5,699
8905464814441,Socks,I646 ANKLE lENGTH SOCKS,NA,10,159
8905707219699,Undergarment,EV005 SPORTO VEST,S,5,549
8905707219682,Undergarment,EV005 SPORTO VEST,M,5,549
8905707219675,Undergarment,EV005 SPORTO VEST,L,5,549
8905707276166,Undergarment,EV006,S,5,389
8905707276159,Undergarment,EV006,M,5,389
8905707276197,Undergarment,EV006,L,5,389
8905464801168,Undergarment,I024 VEST RN WHITE 2PCS,M,5,548
8905464801151,Undergarment,I024 VEST RN WHITE 2PCS,L,5,548
